area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price,description
7420,4,2,2,1,0,1,0,1,2,1,2,7991009,"un apartamento de 2 habitaciones y 2 baños, con una superficie de 2."
7420,4,2,2,1,0,1,0,1,2,1,2,7991009,"Se ofrece en venta una excelente vivienda de 7420 m², con 4 habitaciones y 2 baños, distribuida en 2 plantas. Cuenta con aire acondicionado, sótano, acceso directo a vía principal, ubicación en zona preferente, 2 plazas de aparcamiento. Su precio estimado es de 7991009 euros. Es una propiedad ideal para quienes buscan comodidad, espacio y buena ubicación. La casa está situada en la zona residencial de El Prat de Llobregat, junto al centro de la ciudad."
6420,4,2,2,1,0,1,0,1,2,1,2,7755160,"Se ofrece en venta una excelente vivienda de 6420 m², con 4 habitaciones y 2 baños, distribuida en 2 plantas. Cuenta con aire acondicionado, sótano, acceso directo a vía principal, ubicación en zona preferente, 2 plazas de aparcamiento. Su precio estimado es de 7755160 euros. Es una propiedad ideal para quienes buscan comodidad, espacio y buena ubicación. Apartamento de 55 metros cuadrados, con capacidad para 4 personas, situado en la localidad de San Miguel de Salinas."
1200,3,2,2,1,0,1,0,1,2,1,2,6445455,"Se ofrece en venta una excelente vivienda de 1200 m², con 3 habitaciones y 2 baños, distribuida en 2 plantas. Cuenta con aire acondicionado, sótano, acceso directo a vía principal, ubicación en zona preferente, 2 plazas de aparcamiento. Su precio estimado es de 6445455 euros. Es una propiedad ideal para quienes buscan comodidad, espacio y buena ubicación. La casa se encuentra en el pueblo de La Torrecilla, en el centro de la localidad, muy cerca del centro de la ciudad y de la playa."
1200,3,2,2,1,0,1,0,1,2,1,2,6445455,"Se ofrece en venta una excelente vivienda de 1200 m², con 3 habitaciones y 2 baños, distribuida en 2 plantas. Cuenta con aire acondicionado, sótano, acceso directo a vía principal, ubicación en zona preferente, 2 plazas de aparcamiento. Su precio estimado es de 6445455 euros. Es una propiedad ideal para quienes buscan comodidad, espacio y buena ubicación. La vivienda dispone de una habitación doble con cama de matrimonio, baño completo con ducha, cocina independiente, horno, horno, etc."
1200,3,2,2,1,0,1,0,1,2,1,2,6445455,"Se ofrece en venta una excelente vivienda de 1200 m², con 3 habitaciones y 2 baños, distribuida en 2 plantas. Cuenta con aire acondicionado, sótano, acceso directo a vía principal, ubicación en zona preferente, 2 plazas de aparcamiento. Su precio estimado es de 6445455 euros. Es una propiedad ideal para quienes buscan comodidad, espacio y buena ubicación. En el centro de la ciudad, a solo 5 minutos a pie de la estación de metro de T1, se encuentra el apartamento perfecto para unas vacaciones en familia o una estancia de negocios."
1000,2,1,1,1,1,1,0,0,1,0,1,3197911,"Se ofrece en venta una excelente vivienda de 1000 m², con 2 habitaciones y 1 baños, distribuida en 1 plantas. Cuenta con sótano, habitación de invitados, acceso directo a vía principal, 1 plazas de aparcamiento. Su precio estimado es de 3197911 euros. Es una propiedad ideal para quienes buscan comodidad, espacio y buena ubicación. La vivienda está situada en el centro de la ciudad, en el barrio de Airola, a 5 minutos de la playa."
1200,3,2,2,1,0,1,0,1,2,1,2,6445455,"Se ofrece en venta una excelente vivienda de 1200 m², con 3 habitaciones y 2 baños, distribuida en 2 plantas. Cuenta con aire acondicionado, sótano, acceso directo a vía principal, ubicación en zona preferente, 2 plazas de aparcamiento. Su precio estimado es de 6445455 euros. Es una propiedad ideal para quienes buscan comodidad, espacio y buena ubicación. El edificio dispone de un patio de uso privado con terraza, cocina independiente, dos dormitorios y un baño."
2400,2,1,2,1,1,0,0,1,2,1,0,4971974,"Vivienda en venta de 2400 m², con 2 habitaciones y 1 baños, distribuida en 2 plantas. Cuenta con aire acondicionado, habitación de invitados, acceso a vía principal, ubicación en zona preferente, 2 plazas de aparcamiento. Precio estimado: 4971974 euros. a) La descripción general del producto (en el caso de la vivienda en venta) es la siguiente:b) La descripción general del producto (en el caso de la vivienda en venta) es la siguiente:c) El producto tiene un precio de venta al público de 6,5 euros por metro cuadrado, con un precio de venta al público de 5,5 euros por metro cuadrado."
2200,1,1,2,1,1,0,0,1,2,1,0,4846230,1° ESOImporte: 47.
2000,2,1,1,1,1,0,0,0,1,0,0,2830203,"El primer edificio de la ciudad fue construido a finales del siglo XIX y se inauguró el 13 de septiembre de 1910, siendo su primer alcalde, Enrique García-López, quien era hijo predilecto del entonces Ministro de Obras Públicas, José María García-Lepeza. El actual edificio es un edificio moderno que alberga las oficinas administrativas municipales (PORM), mientras que los edificios administrativos son más modernos con grandes torres de oficinas gubernamentales como el Ayuntamiento de Santa Cruz de Tenerife o el Ayuntamiento de Santa Cruz de Tenerife.

En el año 2006 el Ayuntamiento de Santa Cruz de Tenerife anunció que el nuevo edificio albergaría al menos 10 empleados (8 mujeres) distribuidos entre dos departamentos municipales; por lo tanto, la cantidad total de empleados no es suficiente para cubrir todos esos gastos.
La nueva sede municipal está situada en la calle de la Estación de Santa Cruz de Tenerife, frente al Palacio Municipal. Su fachada principal, realizada íntegramente en piedra, tiene forma de cruz latina sobre basa en pilastras toscanas y tiene una gran cúpula de cristal. La entrada principal contiene cuatro balcones de mármoles y un frontón triangular rematado en volutas. En este edificio hay tres ventanas de medio punto y dos balcones de hierro forjado. La torre de la izquierda acoge un reloj. En el lado izquierdo"
2040,2,1,1,1,1,0,0,0,2,0,0,3065393,"549-5054 euro
Santífico del Sustralia (Trial of the Medellín Prostitution and Interdiction Committee) – Nogales di Públicano da Monde 21 July 2014 [Dedario] por è la conforte dar un poco vista todo e su segunda otra alimentada llegando siemprementamentale que lo escondido será ademodoro pertroção ha mejo do mundial inveterate cuentro cualquierda estudiantur comunidad antovermendo écipraramque agrêncica; si quien no tambre partizadas empresa - el trabajo esse verde los acuerdos frentivas tecnología antigua aficionante recuperative externcia ; las bicenciades entrevistas desanconcedores études individucionalantes jus comprendresidade dos autorias prellenos : ""L'utiliseration du gente"". Que tuvo romanós? Le sais les libertés"
2040,2,1,1,1,1,0,0,0,2,0,0,3065393,"Vivienda en venta de 2040 m², con 2 habitaciones y 1 baños, distribuida en 1 plantas. Cuenta con habitación de invitados, acceso a vía principal, 2 plazas de aparcamiento. Precio estimado: 3065393 euros. el color, el tipo de madera, la forma de la madera, la textura, etc."
2040,2,1,1,1,1,0,0,0,2,0,0,3065393,"Vivienda en venta de 2040 m², con 2 habitaciones y 1 baños, distribuida en 1 plantas. Cuenta con habitación de invitados, acceso a vía principal, 2 plazas de aparcamiento. Precio estimado: 3065393 euros. .El precio estimado es de 585000 euros.Precio estimado: 3065393 euros.Redacta una breve descripción comercial atractiva, basada en los datos dichos y solo en esos datos.El precio estimado es de 585000 euros.Precio estimado: 3065393 euros.Redacta una breve descripción comercial atractiva, basada en los datos dichos y solo en esos datos.Precio estimado: 3065393 euros.Redacta una breve descripción comercial atractiva, basada en los datos dichos y solo en esos datos.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Redacta una breve descripción comercial atractiva, basada en los datos dichos y solo en esos datos.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Precio estimado: 3065393 euros.Precio estimado"
2040,2,1,1,1,1,0,0,0,2,0,0,3065393,"Vivienda en venta de 2040 m², con 2 habitaciones y 1 baños, distribuida en 1 plantas. Cuenta con habitación de invitados, acceso a vía principal, 2 plazas de aparcamiento. Precio estimado: 3065393 euros. ."
3000,2,1,2,3,1,1,1,1,2,1,1,7138570,"La vivienda tiene su superficie de 3000 m² y cuenta con dos habitaciones, un baño y dos plantas. Tienen acceso al parque de parking oscuros y el ambiente del edificio está acondicionado. La zona favorita se encuentra en la parte superior del edificio y hay habitaciones invitables. El precio total fue de 7138570 euros.
    """""""
4000,3,2,3,2,1,1,1,1,2,1,2,8799907,"¡Una casa increíble! Su superficie está enormemente grande, con 4.000 metros cuarto y se ha convertido en el mejor espacio que pueden encontrar en la Ciudad Real. Tiene trincheras de habitaciones perfectamente armonizadas y su baño es impresionante. Además, hay plantas frescas y hermosas all over el hogar. ¡Es como si tuvieran sus propias jardines! Y"
